valid_time,surface,discharge_m3s
2024-04-02,0.0,77.058205
2024-04-03,0.0,79.42526
2024-04-04,0.0,81.50534
2024-04-05,0.0,82.44896
2024-04-06,0.0,83.40664
2024-04-07,0.0,84.76198
2024-04-08,0.0,85.88425
2024-04-09,0.0,85.655205
2024-04-10,0.0,84.87852
2024-04-11,0.0,84.259895
2024-04-12,0.0,83.35287
2024-04-13,0.0,81.995186
2024-04-14,0.0,81.32435
2024-04-15,0.0,81.91875
2024-04-16,0.0,82.90391
2024-04-17,0.0,83.65677
2024-04-18,0.0,85.248436
2024-04-19,0.0,88.45
2024-04-20,0.0,92.302216
2024-04-21,0.0,96.11302
2024-04-22,0.0,99.21706
