date,precip_mm,temperature_C
2024-04-01,1.4804314,-11.071228
2024-04-02,0.03320883,-13.271759
2024-04-03,1.4518793,-7.4970093
2024-04-04,6.7758646,-10.284149
2024-04-05,0.9166434,-9.1521
2024-04-06,0.6912272,-13.472412
2024-04-07,0.07819363,-12.559082
2024-04-08,0.12296043,-13.784393
2024-04-09,0.0022533464,-11.164978
2024-04-10,0.011243815,-9.3628235
2024-04-11,1.5660411,-6.9144897
2024-04-12,1.0574495,-10.468445
2024-04-13,7.207489,-4.447632
2024-04-14,20.598217,-3.8676453
2024-04-15,14.727502,-3.07016
2024-04-16,23.781893,-3.7250977
2024-04-17,0.90941036,-9.358032
2024-04-18,0.6582813,-3.6998596
2024-04-19,7.756478,-3.7311401
2024-04-20,8.888552,-3.9327087
2024-04-21,1.1714069,-6.930176
